,0
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,-1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,2
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,3
85,-1
86,3
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,3
100,1
101,0
102,1
103,0
104,-1
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,-1
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,4
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,1
186,-1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,-1
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,5
224,1
225,1
226,0
227,0
228,1
229,5
230,0
231,0
232,1
233,0
234,0
235,-1
236,0
237,1
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,-1
289,-1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,3
304,0
305,0
306,1
307,1
308,0
309,1
310,1
311,1
312,-1
313,0
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,4
326,0
327,-1
328,0
329,1
330,0
331,1
332,0
333,2
334,5
335,-1
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,4
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,6
369,1
370,0
371,3
372,0
373,6
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,-1
382,0
383,4
384,1
385,0
386,0
387,0
388,0
389,0
390,4
391,0
392,0
393,1
394,2
395,1
396,0
397,0
398,0
399,0
400,-1
401,0
402,0
403,0
404,-1
405,0
406,0
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,2
439,-1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,-1
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,-1
471,-1
472,0
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,7
481,0
482,0
483,1
484,0
485,0
486,6
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,0
